model,coupling,field,temperature,runtime_seconds,runtime_ratio_vs_model_1,transient_rmse_vs_model_1,steady_state_bias_vs_model_1,convergence_time,convergence_time_diff_vs_model_1,variance_mismatch_vs_model_1
model_5,0.1,0.0,2.0,0.00042925006709992896,11.322872433857302,0.0009496786595850333,-1.4704287170590963e-15,1,0,4.9041040024271664e-06
model_1,0.1,0.4,0.6,3.16001009196043e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,0.4,0.6,5.0449883565306665e-05,1.5965102039914119,0.12508990416996607,-0.1243015361683783,2,1,6.786996723541096e-05
model_3,0.1,0.4,0.6,0.0013138999696820975,41.57898017556554,0.1740968838344528,-0.12431796477147511,3,2,0.0008335650219985628
model_4,0.1,0.4,0.6,0.17546111997216937,5552.549354781191,0.10187491021052787,0.14625292291198233,3,2,0.0011080335835265461
model_5,0.1,0.4,0.6,0.0003617300186306238,11.447115930133346,0.05627386920271413,-0.06288926257730076,1,0,3.255800335521487e-10
model_1,0.1,0.4,1.2999999999999998,3.840997815132142e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,0.4,1.2999999999999998,8.104988373816014e-05,2.1101257443795705,0.08039879358971744,-0.08559779677433485,1,0,1.9734194752476544e-05
model_3,0.1,0.4,1.2999999999999998,0.0012091999407857657,31.481401421837713,0.10833032564439128,-0.0856034773128648,2,1,0.0007205309986837324
model_4,0.1,0.4,1.2999999999999998,0.17764776004478336,4625.041944697689,0.04688867141705674,0.0529362732464998,2,1,0.0008492682952036235
model_5,0.1,0.4,1.2999999999999998,0.0003190200310200453,8.305655102515857,0.04662834833681228,0.052145211894579546,1,0,1.479816117230975e-10
model_1,0.1,0.4,2.0,3.046998754143715e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,0.4,2.0,6.105988286435603e-05,2.003935275041339,0.05584790820611053,-0.06034174476889967,1,0,8.763656314439513e-06
model_3,0.1,0.4,2.0,0.0010050800628960135,32.98590330991018,0.07743158870668763,-0.06034526496203152,2,1,0.0006794383261952891
model_4,0.1,0.4,2.0,0.1344997100532055,4414.170168934098,0.031731462686946744,0.023598693496467454,2,1,0.0007082329558775385
model_5,0.1,0.4,2.0,0.00024317000061273574,7.980639975058761,0.012733970554576738,0.014242496300900243,1,0,5.395382624988172e-11
model_1,0.55,-0.4,0.6,2.621011808514595e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,-0.4,0.6,5.3590070456266405e-05,2.0446329269549337,0.0872982293493933,-0.12079831436188504,3,2,0.0026872411354372286
model_3,0.55,-0.4,0.6,0.0006781400181353092,25.873214913885914,0.09120850755727042,-0.12051849990502417,4,3,0.0030714809185006966
model_4,0.55,-0.4,0.6,0.1235235699918121,4712.820048751194,0.1512262691053091,-0.35085879521729246,6,5,0.03270675719779725
model_5,0.55,-0.4,0.6,0.00023357998579740525,8.911825007373086,0.056007898060400255,0.0625271642880415,1,0,8.210882945080821e-09
model_1,0.55,-0.4,1.2999999999999998,3.5899924114346504e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,-0.4,1.2999999999999998,7.131011225283145e-05,1.986358300527275,0.038614386795382385,0.022803703828567556,1,0,0.0006517430246249707
model_3,0.55,-0.4,1.2999999999999998,0.0008016900159418582,22.33124541958246,0.050436303819707845,0.022844965696934505,2,1,0.001572668065306551
model_4,0.55,-0.4,1.2999999999999998,0.12905441005714235,3594.837962500567,0.1771657537142297,-0.35162434492195394,5,4,0.008592817609347983
model_5,0.55,-0.4,1.2999999999999998,0.0002547900192439556,7.097230022893981,0.04675443372137118,-0.0523097357737759,1,0,3.731983260862837e-09
model_1,0.55,-0.4,2.0,2.9159989207983016e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,-0.4,2.0,5.459999665617943e-05,1.87242856184706,0.035411449769023655,0.03585734810568342,1,0,0.00027557063443623173
model_3,0.55,-0.4,2.0,0.001032839948311448,35.41976442257021,0.039915107062108816,0.03586289844221768,1,0,0.001149184346760756
model_4,0.55,-0.4,2.0,0.1338603898882866,4590.550049025402,0.10105652646864395,-0.1695100562186143,3,2,0.0039278234566593705
model_5,0.55,-0.4,2.0,0.00024748998694121835,8.487314078753636,0.012783686412122934,-0.014302464710213902,1,0,1.3606740325373937e-09
model_1,0.55,0.0,0.6,5.335994064807892e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,0.0,0.6,5.973996594548225e-05,1.119565824472727,0.03464232613834739,-0.0013085037234567467,2,1,0.004491092334353569
model_3,0.55,0.0,0.6,0.0014692400582134721,27.534514476008287,0.03380997009086524,-0.0013373173206644735,2,1,0.005420370243190912
model_4,0.55,0.0,0.6,0.1787716799415648,3350.297578488798,0.10542316218735653,-0.10357751760815186,0,-1,0.10904277617751056
model_5,0.55,0.0,0.6,0.0002948001027107239,5.524745701180561,0.01213635940675148,-9.819150786979e-07,1,0,0.0007982343792034781
model_1,0.55,0.0,1.2999999999999998,4.234989173710347e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,0.0,1.2999999999999998,7.086000405251979e-05,1.6732039007891517,0.013185002642561517,-1.8234484359434965e-06,1,0,0.0006959961223788459
model_3,0.55,0.0,1.2999999999999998,0.0013239699881523847,31.26265342946395,0.019137963827144392,-3.0248604453461363e-05,1,0,0.0016450273290876305
model_4,0.55,0.0,1.2999999999999998,0.16996283996850253,4013.300459504957,0.04784475561825249,-0.006906956496865016,2,1,0.011853919859143875
model_5,0.55,0.0,1.2999999999999998,0.0003274899907410145,7.732959337274878,0.008022600626347949,-3.8039538543779535e-08,1,0,0.0003494413691251107
model_1,0.55,0.0,2.0,4.339995793998241e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,0.0,2.0,5.859001539647579e-05,1.3500016630776377,0.008350526712207495,-5.1836087170779405e-08,1,0,0.00028266055268184783
model_3,0.55,0.0,2.0,0.0009608300402760506,22.138962475603726,0.016314147772249685,-9.322848358079961e-06,1,0,0.0011623790348147492
model_4,0.55,0.0,2.0,0.17562089008279147,4046.568209251648,0.03007636443172753,-0.0006238145860236275,2,1,0.004280069218806442
model_5,0.55,0.0,2.0,0.0002816400956362486,6.489409414306975,0.00479542608428217,-6.222319190760414e-10,1,0,0.00012497542583627175
model_1,0.55,0.4,0.6,3.746994771063328e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,0.4,0.6,7.257014513015748e-05,1.9367559754977561,0.11839491204836511,0.12078065342472677,3,2,0.0021179982260861978
model_3,0.55,0.4,0.6,0.0023067299742251636,61.56213486176166,0.12842742746702002,0.12040168396823558,4,3,0.002730292182104915
model_4,0.55,0.4,0.6,0.2034032600466162,5428.437253700627,0.1522891122786147,0.31992564746320085,7,6,0.02069678179130027
model_5,0.55,0.4,0.6,0.00047605996951460844,12.705114327648538,0.05604700041865878,-0.06252716428804139,1,0,8.210882945082438e-09
model_1,0.55,0.4,1.2999999999999998,4.191994667053223e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.55,0.4,1.2999999999999998,0.00011295005679130554,2.694422721455993,0.06246632515148802,-0.022805695739403997,2,1,0.0006179630897613205
