model,coupling,field,temperature,seed,initial_up_count,initial_up_fraction,t,m,runtime_seconds
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,6,-0.4584813523715739,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,7,-0.45848140487451144,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,8,-0.45848140948190563,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,9,-0.4584814098862274,5.079992115497589e-05
model_2,0.1,-0.4,0.6,2,2,0.3333333333333333,10,-0.45848140992170866,5.079992115497589e-05
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,0,-0.3333333333333333,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,1,-0.4247823597726315,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,2,-0.4494293040839678,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,3,-0.45604123448577977,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,4,-0.45782035703978236,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,5,-0.4583013613204093,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,6,-0.4584320951861391,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,7,-0.45846782518576595,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,8,-0.4584776460361284,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,9,-0.4584803610419521,0.0006333999335765839
model_3,0.1,-0.4,0.6,2,2,0.3333333333333333,10,-0.4584811159656546,0.0006333999335765839
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,0,-0.3333333333333333,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,1,-0.6093082422756599,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,2,-0.6922240813352257,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,3,-0.7175445145053749,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,4,-0.7254281372702646,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,5,-0.7279170054262766,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,6,-0.728710452427976,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,7,-0.728965135339051,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,8,-0.7290472720621194,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,9,-0.729073847978992,0.09958970034494996
model_4,0.1,-0.4,0.6,2,2,0.3333333333333333,10,-0.7290824659464831,0.09958970034494996
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,0,-0.3333333333333333,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,1,-0.5198806282568909,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,2,-0.5198936799574746,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,3,-0.5198936827701386,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,4,-0.5198936827706092,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,5,-0.5198936827706093,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,6,-0.5198936827706093,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,7,-0.5198936827706093,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,8,-0.5198936827706093,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,9,-0.5198936827706093,0.0002138996496796608
model_5,0.1,-0.4,0.6,2,2,0.3333333333333333,10,-0.5198936827706093,0.0002138996496796608
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,0,-0.3333333333333333,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,1,-0.5827829453479102,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,2,-0.5827829453479102,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,3,-0.5827829453479102,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,4,-0.5827829453479102,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,5,-0.5827829453479102,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,6,-0.5827829453479102,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,7,-0.5827829453479102,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,8,-0.5827829453479102,2.1599698811769485e-05
model_1,0.1,-0.4,0.6,3,2,0.3333333333333333,9,-0.5827829453479102,2.1599698811769485e-05
