model,coupling,field,temperature,t,mean_m,var_m,n
model_1,0.2,0.20000000000000007,1.2999999999999998,11,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,12,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,13,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,14,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,15,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,16,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,17,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,18,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,19,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.2999999999999998,20,0.15264375981490508,0.0,30
model_1,0.2,0.20000000000000007,1.65,0,0.016666666666666666,0.24138888888888888,30
model_1,0.2,0.20000000000000007,1.65,1,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,2,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,3,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,4,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,5,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,6,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,7,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,8,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,9,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,10,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,11,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,12,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,13,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,14,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,15,0.12062195788315622,0.0,30
model_1,0.2,0.20000000000000007,1.65,16,0.12062195788315622,0.0,30
